iter	Passed	Remaining
743	3563	1226
744	3569	1221
745	3574	1217
746	3580	1212
747	3585	1207
748	3590	1203
749	3594	1198
750	3599	1193
751	3604	1188
752	3609	1183
753	3614	1179
754	3618	1174
755	3623	1169
756	3628	1164
757	3633	1159
758	3637	1155
759	3642	1150
760	3647	1145
761	3652	1140
762	3658	1136
763	3664	1131
764	3670	1127
765	3676	1122
766	3681	1118
767	3686	1113
768	3691	1108
769	3696	1104
770	3702	1099
771	3707	1094
772	3712	1090
773	3717	1085
774	3723	1080
775	3728	1076
776	3733	1071
777	3739	1066
778	3744	1062
779	3749	1057
780	3755	1052
781	3760	1048
782	3765	1043
783	3771	1039
784	3776	1034
785	3782	1029
786	3787	1025
787	3792	1020
788	3798	1015
789	3804	1011
790	3809	1006
791	3814	1001
792	3820	997
793	3824	992
794	3829	987
795	3833	982
796	3839	977
797	3844	973
798	3849	968
799	3854	963
800	3859	958
801	3864	954
802	3868	949
803	3873	944
804	3878	939
805	3883	934
806	3888	929
807	3892	924
808	3896	920
809	3901	915
810	3906	910
811	3910	905
812	3915	900
813	3920	895
814	3924	890
815	3929	886
816	3934	881
817	3939	876
818	3943	871
819	3948	866
820	3953	861
821	3957	857
822	3962	852
823	3967	847
824	3971	842
825	3976	837
826	3981	832
827	3985	827
828	3990	823
829	3995	818
830	3999	813
831	4004	808
832	4009	803
833	4013	798
834	4019	794
835	4027	790
836	4034	785
837	4039	780
838	4045	776
839	4051	771
840	4056	766
841	4062	762
842	4069	757
843	4074	753
844	4080	748
845	4086	743
846	4092	739
847	4097	734
848	4103	729
849	4109	725
850	4115	720
851	4120	715
852	4126	711
853	4132	706
854	4138	701
855	4144	697
856	4150	692
857	4157	688
858	4163	683
859	4169	678
860	4176	674
861	4183	669
862	4189	665
863	4195	660
864	4200	655
865	4206	650
866	4212	646
867	4217	641
868	4221	636
869	4226	631
870	4231	626
871	4235	621
872	4240	616
873	4245	612
874	4250	607
875	4255	602
876	4259	597
877	4264	592
878	4269	587
879	4273	582
880	4278	577
881	4282	573
882	4287	568
883	4292	563
884	4296	558
885	4301	553
886	4306	548
887	4311	543
888	4315	538
889	4320	533
890	4325	529
891	4329	524
892	4334	519
893	4338	514
894	4343	509
895	4348	504
896	4352	499
897	4357	494
898	4362	490
899	4366	485
900	4371	480
901	4376	475
902	4380	470
903	4387	465
904	4392	461
905	4396	456
906	4401	451
907	4406	446
908	4410	441
909	4415	436
910	4420	431
911	4425	426
912	4429	422
913	4434	417
914	4439	412
915	4443	407
916	4448	402
917	4453	397
918	4457	392
919	4462	388
920	4467	383
921	4471	378
922	4476	373
923	4481	368
924	4485	363
925	4490	358
926	4495	353
927	4499	349
928	4504	344
929	4509	339
930	4513	334
931	4518	329
932	4523	324
933	4527	319
934	4532	315
935	4537	310
936	4541	305
937	4546	300
938	4551	295
939	4555	290
940	4560	285
941	4564	281
942	4570	276
943	4575	271
944	4580	266
945	4585	261
946	4590	256
947	4594	252
948	4599	247
949	4603	242
950	4608	237
951	4613	232
952	4617	227
953	4622	222
954	4627	218
955	4631	213
956	4636	208
957	4641	203
958	4645	198
959	4650	193
960	4655	188
961	4659	184
962	4664	179
963	4669	174
964	4674	169
965	4679	164
966	4683	159
967	4688	154
968	4692	150
969	4697	145
970	4701	140
971	4706	135
972	4710	130
973	4715	125
974	4720	121
975	4725	116
976	4730	111
977	4734	106
978	4739	101
979	4744	96
980	4749	91
981	4754	87
982	4759	82
983	4764	77
984	4769	72
985	4774	67
986	4779	62
987	4783	58
988	4788	53
989	4793	48
990	4797	43
991	4802	38
992	4806	33
993	4811	29
994	4816	24
995	4820	19
996	4825	14
997	4830	9
998	4835	4
999	4839	0
